,player_name,player_birth,player_physical,player_no,player_position,player_exprience,player_payment,player_salaly,player_draft,player_join
79453,오정복,1986년 10월 13일,177cm/75kg,27,외야수(우투우타),삼성초-내동중-용마고-인하대-삼성-NC-경찰-NC,,,09 삼성 2차 7라운드 53순위,09삼성
79456,이지영,1986년 02월 27일,178cm/85kg,56,포수(우투우타),서화초-신흥중-제물포고-경성대-삼성-상무-삼성,,30000만원,08 삼성 육성선수,09삼성
79459,정형식,1991년 01월 28일,178cm/73kg,51,외야수(우투좌타),화정초-진흥중-진흥고-삼성,,,09 삼성 2차 2라운드 12순위,09삼성
79460,임익현,1990년 08월 16일,185cm/88kg,60,투수(우투좌타),화정초-충장중-동성고-(대구사이버대),,,09 삼성 2차 6라운드 44순위,09삼성
79461,에르난데스,1980년 04월 27일,185cm/113kg,61,투수(우투우타),도미니카 세사니콜라스펜손고-삼성,,,09 삼성 자유선발,
79462,최천수,1990년 05월 13일,178cm/88kg,62,포수(우투우타),관산초-성남중-성남고-(대구사이버대),,,09 삼성 2차 8라운드 57순위,
79465,배영섭,1986년 06월 27일,178cm/78kg,23,외야수(우투우타),신곡초-수원북중-유신고-동국대-삼성-경찰-삼성,,,09 삼성 2차 4라운드 28순위,09삼성
79468,양지훈,1985년 04월 15일,183cm/82kg,44,투수(우언우타),순천북초-이수중-효천고-한일장신대-삼성-경찰,,,09 삼성 2차 5라운드 37순위,09삼성
79473,나가시마,1961년 11월 12일,170cm/80kg,73,(좌투좌타),일본 시즈오카공고,,,,
79530,양종민,1990년 10월 09일,181cm/81kg,13,내야수(우투우타),사당초-강남중-덕수고-(영남사이버대)-롯데-두산,9000만원,3600만원,09 롯데 2차 2라운드 15순위,09롯데
79535,허준혁,1990년 09월 30일,183cm/82kg,56,투수(좌투좌타),백마초-홍은중-휘문고-(영남사이버대)-롯데-SK-두산-상무,,,09 롯데 2차 3라운드 18순위,09롯데
79540,오수호,1990년 04월 20일,175cm/98kg,30,투수(우투우타),부산중앙초-대천중-부산고-롯데-SK,,,09 롯데 1차,09롯데
79543,서성민,1990년 08월 01일,186cm/90kg,38,투수(우투우타),포항대해초-포항중-구미전자공고-(영남사이버대),,,09 롯데 2차 5라운드 34순위,
79544,오장훈,1984년 05월 19일,186cm/100kg,42,투수(우투우타),영일초-영남중-성남고-홍익대-롯데,,,08 롯데 육성선수,09롯데
